"IDX_REPORTE","FECHA_REPORTE_C","SEXO","ESTADO_CIVIL","NIVEL_EDUCATIVO","ESTADO","EDAD_C","EDAD_G","ESTADO_CIVIL_G","NIVEL_EDUCATIVO_G","ANIO_REPORTE","FLAG"
"03-014953-0","2019-03-20","Mujer","Soltera","Licenciatura","Ciudad de México",82,"Adultez Mayor","Soltera","Superior",2019,0
"03-014959-0","2022-10-04","Hombre","Soltera","Preparatoria","Querétaro",51,"Adultez","Soltera","Medio",2022,0
"03-014959-1",NA,"Hombre","Soltera","Preparatoria","Portal",51,"Adultez","Soltera","Medio",NA,0
"03-014974-0","2022-05-02","Hombre","Union libre","Primaria","Zacatecas",52,"Adultez","Relacion","Basico",2022,0
"03-014997-0","2020-07-21","Hombre","Divorciada","Secundaria","Michoacán de Ocampo",55,"Adultez","Separada/Divorciada","Medio",2020,0
"03-015001-0","2022-05-17","Hombre","Soltera","Secundaria","Portal",28,"Juventud","Soltera","Medio",2022,0
"03-015003-0",NA,"Mujer","Soltera","Licenciatura","Portal",30,"Juventud","Soltera","Superior",NA,0
"03-015016-0",NA,"Hombre","Soltera","Secundaria","Zacatecas",38,"Adultez","Soltera","Medio",NA,0
"03-015018-0",NA,"Hombre","Soltera","Secundaria","Portal",31,"Adultez","Soltera","Medio",NA,0
"03-015019-0","2021-01-12","Hombre","Soltera","Secundaria","Portal",21,"Juventud","Soltera","Medio",2021,0
"03-015033-0",NA,"Hombre","Soltera","Secundaria","Sonora",29,"Juventud","Soltera","Medio",NA,0
"03-015034-0","2018-09-12","Hombre","Soltera","Secundaria","Sinaloa",21,"Juventud","Soltera","Medio",2018,0
"03-015048-0",NA,"Mujer","Soltera","Primaria","Colima",28,"Juventud","Soltera","Basico",NA,0
"03-015052-0","2022-08-02","Hombre","Soltera","Licenciatura","Michoacán de Ocampo",28,"Juventud","Soltera","Superior",2022,0
"03-015054-0","2019-01-12","Hombre","Soltera","Primaria","Sinaloa",34,"Adultez","Soltera","Basico",2019,0
"03-015057-0","2021-01-29","Hombre","Soltera","Secundaria","México",32,"Adultez","Soltera","Medio",2021,0
"03-015059-0",NA,"Hombre","Union libre","Secundaria","Portal",26,"Juventud","Relacion","Medio",NA,0
"03-015065-0","2021-11-16","Hombre","Soltera","Primaria","Querétaro",26,"Juventud","Soltera","Basico",2021,0
"03-015078-0","2019-02-05","Mujer","Soltera","Primaria","Ciudad de México",91,"Adultez Mayor","Soltera","Basico",2019,0
"03-015081-0",NA,"Mujer","Soltera","Preparatoria","Nacional",38,"Adultez","Soltera","Medio",NA,0
"03-015090-0","2019-12-19","Hombre","Casada","Secundaria","Ciudad de México",51,"Adultez","Relacion","Medio",2019,0
"03-015110-0","2012-08-20","Hombre","Casada","Primaria","México",60,"Adultez","Relacion","Basico",2012,0
"03-015119-0",NA,"Hombre","Soltera","Primaria","Portal",31,"Adultez","Soltera","Basico",NA,0
"03-015136-0","2019-12-16","Hombre","Union libre","Preparatoria","Baja California Sur",36,"Adultez","Relacion","Medio",2019,0
"03-015148-0","2019-09-11","Hombre","Soltera","Preparatoria","Sinaloa",31,"Adultez","Soltera","Medio",2019,0
"03-015157-0",NA,"Hombre","Casada","Primaria","Chihuahua",54,"Adultez","Relacion","Basico",NA,0
"03-015158-0","2022-09-26","Hombre","Soltera","Primaria","Chiapas",9,"Niñez","Soltera","Basico",2022,0
"03-015172-0",NA,"Mujer","Soltera","Licenciatura","Nacional",31,"Adultez","Soltera","Superior",NA,0
